Feature,Target
0.0,0.24835707650561634
0.10101010101010101,0.283888160693772
0.20202020202020202,1.0268009396285036
0.30303030303030304,1.8082714930620876
0.40404040404040403,1.2643533511035234
0.5050505050505051,1.5870116953644662
0.6060606060606061,2.8015390315108957
0.7070707070707071,2.6860812586289273
0.8080808080808081,2.338190895511309
0.9090909090909091,3.0926618648712094
1.0101010101010102,2.8139983494532244
1.1111111111111112,3.011267281860296
1.2121212121212122,3.536129917156477
1.3131313131313131,2.6008884023646566
1.4141414141414141,2.8078758678944427
1.5151515151515151,3.47178867365644
1.6161616161616161,3.2985787630836665
1.7171717171717171,3.983628234426516
1.8181818181818181,3.363746718877275
1.9191919191919191,3.073209063218707
2.0202020202020203,4.445041733170654
2.121212121212121,3.5046392641818183
2.2222222222222223,3.5305353845242204
2.323232323232323,2.639320758438773
2.4242424242424243,2.9121005899069474
2.525252525252525,3.0522453128009155
2.6262626262626263,2.2161006521869324
2.727272727272727,2.7591878448176894
2.8282828282828283,2.038449121652242
2.929292929292929,1.9509252339814047
3.0303030303030303,1.5474783234092058
3.131313131313131,2.5226336816326387
3.2323232323232323,1.337594562692426
3.3333333333333335,0.5661073135622605
3.4343434343434343,1.2626829970620144
3.5353535353535355,0.006262367272919622
3.6363636363636362,0.4981232832174774
3.7373737373737375,-0.7946145036986244
3.8383838383838382,-0.6701815181154595
3.9393939393939394,-0.07933991005603902
4.040404040404041,0.041672802237119
4.141414141414141,-0.3677323512805544
4.242424242424242,-0.6113647919874199
4.343434343434343,-0.7769492426729734
4.444444444444445,-1.409990123747826
4.545454545454545,-1.0454911549428707
4.646464646464646,-0.9005703961852085
4.747474747474747,-0.09585518599047549
4.848484848484849,-0.3762081599903764
4.94949494949495,-1.322838077810392
5.05050505050505,-0.14284926538807619
5.151515151515151,-0.332154112300993
5.252525252525253,-0.2851142068545081
5.353535353535354,0.5783739546812017
5.454545454545454,1.0317342135639627
5.555555555555555,1.2481132923994096
5.656565656565657,0.6494441211298039
5.757575757575758,1.2189605826805376
5.858585858585858,1.8590571525021227
5.959595959595959,2.513655554927303
6.0606060606060606,2.1284779877151956
6.161616161616162,2.624168830864672
6.262626262626262,2.516472855448337
6.363636363636363,2.8248077687886917
6.4646464646464645,4.179986940600064
6.565656565656566,4.797137753146366
6.666666666666667,4.419781964256826
6.767676767676767,5.2828800538613505
6.8686868686868685,5.273013859106468
6.96969696969697,5.06381745289264
7.070707070707071,5.841871731205396
7.171717171717171,6.683317413942312
7.2727272727272725,6.125774332965437
7.373737373737374,7.129836820862926
7.474747474747475,5.214346473022619
7.575757575757575,7.08346418214687
7.6767676767676765,6.834923346154394
7.777777777777778,6.7306788864875795
7.878787878787879,6.984351350320026
7.979797979797979,5.972401209395512
8.080808080808081,6.853723064911892
8.181818181818182,7.109688918415027
8.282828282828282,7.608698994058287
8.383838383838384,6.521422520927719
8.484848484848484,6.260726953396335
8.585858585858587,6.273814995907558
8.686868686868687,6.819362912972175
8.787878787878787,6.342431190842728
8.88888888888889,5.711381377983774
8.98989898989899,6.015485133271993
9.09090909090909,5.577095446569064
9.191919191919192,5.772562317201196
9.292929292929292,4.689839065454846
9.393939393939394,4.625639660854236
9.494949494949495,4.341078789706728
9.595959595959595,3.5551818269294486
9.696969696969697,4.190015609285984
9.797979797979798,3.9357213341121775
9.8989898989899,3.5821392149148594
10.0,3.250643100644317
